"Subject","Course","Course_Title","As","Bs","Cs","Ds","Fs","GPA","N"
"COM",201,"INTRO TO COMM I",255,133,28,4,4,3.4,427
"COM",202,"INTRO TO COMM II",66,172,36,12,6,2.9,300
"COM",220,"INTRO TO PUBLIC SPK",53,92,9,1,3,3.1,161
"COM",270,"INTERPERSONAL CMU",23,1,0,0,0,3.9,24
"COM",289,"COM PWR &DIFFERENCE",62,23,1,2,2,3.4,90
"COM",300,"CONCEPTS NEW MEDIA",13,8,3,0,0,3.3,25
"COM",301,"NAVIGAT INFO NETWKS",13,7,1,0,2,3.2,24
"COM",304,"AM PRESS & POLITICS",17,2,1,0,0,3.5,20
"COM",325,"COMM CITIES SUSTAIN",20,6,0,0,0,3.6,27
"COM",332,"HIST OF RHETORIC",15,12,0,0,0,3.4,27
"COM",340,"HISTORY MASS CMU",19,18,3,0,0,3.3,42
"COM",343,"EFFECTS OF MASS CMU",24,10,2,0,0,3.5,36
"COM",360,"FNDS MULTIPLAT JOUR",13,4,0,0,0,3.6,17
"COM",361,"ADV MULTIPLAT JOUR",16,1,0,0,1,3.6,18
"COM",364,"JOUR IN DIVERSE SOC",5,8,0,0,0,3.3,13
"COM",373,"COMM SM GROUPS",11,2,3,0,0,3.3,16
"COM",375,"COMMUNICATION ETHICS",76,17,1,0,0,3.6,94
"COM",383,"QUAL COM RSRCH MTHD",49,37,1,0,1,3.4,88
"COM",389,"RACE/GENDR/SEXUALTY",12,4,6,1,1,2.9,24
"COM",420,"COMP MEDIA SYSTEMS",15,6,0,0,0,3.5,22
"COM",440,"MASS MEDIA LAW",32,40,7,0,0,3.15,79
"COM",444,"PUB RELTN & SOCIETY",46,42,1,0,0,3.4,90
"COM",450,"INTL COM LAW",6,9,2,1,1,2.9,19
"COM",458,"REPTG GLOBAL ISSUES",8,5,0,0,1,3.2,14
"COM",468,"MEDIA ETHICS",63,21,0,0,1,3.5,85
"COM",470,"DISCOURSE:TALK/TEXT",10,23,4,1,0,3,38
"COM",478,"INTERCULTURAL COMM",34,1,0,0,1,3.7,36
"COM",482,"INTERPERSONAL MEDIA",32,3,0,0,0,3.7,35
"COM",488,"ASIAN AMER MEDIA",40,50,7,1,0,3.1,98
"COM",495,"SPEC TOPICS COM",18,2,0,1,0,3.6,21
"COM",551,"POLITICAL COMMUN",19,0,0,0,0,3.9,19
"COM",597,"SPECIAL TOPICS",72,1,0,0,0,3.775,74
"CONJ",401,"HUMAN ANAT-PHYSIOL",56,38,12,0,0,3.3,107
"CONJ",532,"SIGNAL TRANSDUCTION",5,9,0,0,0,3.3,14
"CONJ",537,"TRANSCRIPTIONAL REG",16,0,0,0,0,3.8,16
"CS&SS",510,"MAX LIKELIHOOD METH",30,0,0,0,0,3.7,32
"CSE",142,"COMPUTER PRGRMNG I",278,433,171,65,75,2.65,1077
"CSE",143,"COMPUTER PRGRMNG II",155,197,70,9,13,3,484
"CSE",311,"FOUNDATIONS COMP I",106,90,1,1,1,3.35,200
"CSE",312,"FOUNDATIONS COMP II",52,28,4,0,2,3.3,87
"CSE",331,"SW DESIGN & IMPL",47,27,1,0,3,3.3,78
"CSE",332,"DATA ABSTRACTIONS",58,34,1,0,1,3.4,94
"CSE",333,"SYSTEMS PROGRAMMING",31,31,6,0,1,3.2,74
"CSE",341,"PROGRAMMING LANGS",31,21,0,0,1,3.4,55
"CSE",344,"INTRO DATA MGMT",54,38,2,0,0,3.4,94
"CSE",351,"HW SW INTERFACE",112,82,1,0,0,3.4,197
"CSE",369,"INTRO DIG DESIGN",10,6,0,0,0,3.5,16
"CSE",373,"DATA STRUC/ALGORITH",54,91,22,2,4,3,182
"CSE",374,"PROG CONCEPTS TOOLS",33,31,0,3,0,3.3,71
"CSE",421,"INTRO TO ALGORITHMS",56,24,0,0,0,3.4,80
"CSE",427,"COMP BIOLOGY",33,0,0,0,1,3.8,35
"CSE",440,"INTRODUCTION TO HCI",35,10,0,0,0,3.6,45
"CSE",451,"INTRO OPERATING SYS",43,11,0,0,0,3.6,55
"CSE",454,"INTERNET SERVICES",21,0,0,0,0,3.8,21
"CSE",457,"COMPUTER GRAPHICS",30,0,0,0,0,3.8,31
"CSE",458,"COMPUTER ANIMATION",22,0,0,0,0,3.8,22
"CSE",459,"ANIMATION PRE-PROD",13,0,0,0,0,3.7,13
"CSE",461,"INTRO COMP NETWORKS",63,2,0,0,0,3.8,65
"CSE",466,"SW FOR EMB SYS",27,2,1,0,0,3.7,30
"CSE",473,"INTR TO ARTIF INTLL",46,16,1,1,1,3.4,67
"CSE",484,"COMPUTER SECURITY",59,2,1,0,0,3.8,62
"CSE",505,"PRIN OF PROG LANGS",17,5,0,0,0,3.7,23
"CSE",544,"PRINCIPLES OF DBMS",16,9,0,0,0,3.5,25
"CSE",546,"MACHINE LEARNING",57,6,0,0,3,3.6,78
"CSE",550,"COMPUTER SYSTEMS",25,0,0,0,0,3.9,25
"CSE",557,"COMPUTER GRAPHICS",16,4,0,0,0,3.7,21
"CSE",571,"AI-ROBOTICS",16,6,0,0,0,3.5,22
"CSE P",517,"NAT LANG PROCESSING",42,9,1,0,0,3.6,54
"CSE P",544,"DATABASE MGT SYS",47,2,0,0,0,3.7,49
"CSE P",548,"COMPUTER ARCH",31,0,1,0,0,3.9,32
"DANCE",100,"UNDERSTANDING DANCE",112,21,2,0,2,3.7,139
"DANCE",101,"DANC AMER EXPERIENC",63,9,2,2,1,3.6,78
"DANCE",102,"INTRO TO DANCE",88,5,1,0,0,3.83333333333333,97
"DANCE",103,"INTRO TO DANCE",29,0,0,0,0,3.9,29
"DANCE",104,"MODERN TECHNIQUE",31,2,0,0,0,3.8,33
"DANCE",107,"BALLET TECHNIQUE",37,1,0,0,0,3.85,40
"DANCE",110,"JAZZ TECHNIQUE I",46,0,0,0,0,3.9,47
"DANCE",125,"BEGINNING TAP",12,1,0,0,0,3.8,14
"DANCE",166,"DANCE COMPOSITION I",18,0,0,0,0,3.9,18
"DANCE",201,"BALLET TECHNIQUE 2",38,0,0,0,0,3.9,40
"DANCE",204,"MODERN TECHNIQ II",17,0,0,0,0,3.9,17
"DANCE",210,"JAZZ TECHNIQUE II",18,1,0,1,0,3.7,20
"DANCE",225,"TAP TECHNIQUE II",17,0,0,0,0,3.9,18
"DANCE",230,"ALTERNATIVE MVT STD",36,3,2,0,2,3.6,43
"DANCE",234,"WORLD DANCE & CLTR",37,0,0,0,0,3.9,37
"DANCE",239,"TANGO",27,5,1,3,1,3.4,38
"DANCE",242,"MUSIC FOR DANCE",14,0,0,0,0,3.8,14
"DANCE",301,"BALLET TECHNIQ III",27,3,0,0,0,3.85,31
"DANCE",493,"ANATOMY FOR DANCE",33,4,1,2,0,3.6,40
"DENT",548,"DENT PRACTICE",58,3,0,0,0,3.9,61
"DENT",555,"P-CLIN PRACT MGMT 2",62,0,0,0,0,4,62
"DENTCL",632,"PERIO CLERKSHIP",17,0,0,0,0,3.8,17
"DENTCL",633,"ENDO CLERKSHIP",12,4,0,0,0,3.6,16
"DENTCL",634,"OPER CLERKSHIP",1,15,0,0,0,3.3,16
"DENTCL",635,"DXTX CLERKSHIP",13,4,0,0,0,3.6,17
"DENTCL",636,"ORALM CLERKSHIP",15,0,0,0,1,3.6,16
"DENTFN",512,"FNDN OF DENTAL MED",54,0,0,0,0,3.9,54
"DENTFN",513,"ORAL MICROBIO",55,0,0,0,0,3.7,55
"DENTPC",510,"DENTAL ANATOMY",12,42,0,0,0,3.3,54
"DENTPC",511,"INTRO TO PERIO",47,7,0,0,0,3.7,54
"DESIGN",165,"INTRO INDUST DESIGN",32,19,4,0,0,3.35,55
"DESIGN",207,"DESIGN DRAWING",21,40,1,0,1,3.2,63
"DESIGN",210,"COLOR & COMPOSITION",10,50,3,0,0,3.2,63
"DESIGN",316,"INTRO INDUST DESIGN",11,7,0,0,0,3.4,18
"DESIGN",319,"ADV DESIGN DRAWING",16,1,0,0,0,3.6,17
"DESIGN",366,"EDIT VISUALIZATIONS",19,0,0,0,0,3.6,19
"DESIGN",376,"TYPOGRAPHY",19,6,0,0,0,3.5,25
"DESIGN",381,"CASE STUDIES IXD",14,7,0,0,0,3.4,21
"DESIGN",383,"FOUNDATIONS OF IXD",21,2,0,0,0,3.6,23
"DESIGN",443,"MATERIAL & MANUFACT",13,3,0,0,0,3.5,16
"DESIGN",445,"ADV INDUSTRIAL DES",11,4,0,0,0,3.4,15
"DESIGN",466,"PUBLICATION",10,14,0,0,0,3.5,24
"DESIGN",478,"INFORMATION DESIGN",14,7,0,0,0,3.5,21
"DESIGN",481,"DESIGN FIELD STUDY",16,5,0,0,0,3.5,21
"DESIGN",582,"DESIGN STUDIO: GRAD",14,0,0,0,0,3.8,14
"DIS ST",230,"INTRO DISABILITY ST",8,7,1,0,0,3.3,16
"DPHS",640,"P-I:FEARFUL PHOBIC",21,0,0,0,0,3.9,21
"DRAMA",101,"INTRO TO THEATRE",126,48,3,1,1,3.6,180
"DRAMA",103,"THEATRE APPRECIATN",93,8,2,0,0,3.8,104
"DRAMA",201,"PLAYS AND STYLES",35,8,2,1,1,3.45,48
"DRAMA",210,"THEATRE TECH PRACT",14,11,0,0,0,3.5,25
"DRAMA",212,"THEATRE TECH PRACT",18,1,0,0,0,3.7,19
"DRAMA",251,"ACTING",115,21,2,1,2,3.7,144
"DRAMA",290,"TH TECH PRAC LAB",21,0,0,0,1,3.8,23
"DRAMA",302,"CRITICAL ANALYSIS",11,3,1,0,0,3.6,16
"DRAMA",371,"THEATRE HISTORY I",15,4,1,2,0,3.3,22
"DRAMA",456,"THEATRE FOR YOUTH",13,0,0,0,0,4,14
"DRAMA",466,"STAGE MANAGEMENT",14,0,0,0,0,3.9,16
"DXARTS",200,"DIGTL ART NEW MEDIA",55,22,2,2,2,3.3,88
"DXARTS",450,"DIGITAL VIDEO FNDTNS",17,1,0,0,0,3.7,19
"DXARTS",460,"DIGITAL SOUND",13,6,0,0,0,3.5,20
"E E",215,"INTRO TO E E",90,113,3,0,3,3.3,214
"E E",233,"CIRCUIT THEORY",28,36,7,0,2,3.1,73
"E E",235,"CT LINEAR SYSTEMS",26,48,7,0,0,3.2,81
"E E",271,"DIGITAL CIR & SYSTE",40,18,1,0,1,3.4,60
"E E",299,"INTRO TPCS E E",38,9,2,0,1,3.55,50
"E E",331,"DEVICES/CIRCUITS I",27,25,3,0,0,3.3,57
"E E",351,"ENERGY SYSTEMS",8,16,5,0,0,3.1,29
"E E",361,"APPL EM",6,7,2,0,1,2.9,16
"E E",371,"DIGITAL DESIGN",23,2,0,0,0,3.7,25
"E E",393,"ADV TECH WRITING EE",49,12,2,0,2,3.5,66
"E E",398,"PROFESSIONAL ISSUES",72,6,1,0,0,3.9,81
"E E",416,"RANDOM SIGNALS",16,6,0,0,0,3.6,22
"E E",418,"NETWK SECR & CRYPTOG",16,13,0,0,0,3.5,29
"E E",440,"INTRO DGTL IMAG SYST",15,9,0,0,0,3.5,24
"E E",447,"CONTROL SYS ANLYS I",58,13,1,1,0,3.6,73
"E E",452,"PWR ELECTRONIC DES",23,5,0,0,0,3.6,28
"E E",454,"POWER SYS ANLYS",15,13,1,0,0,3.4,29
"E E",471,"COMPUTER DESIGN ORG",50,22,2,1,0,3.5,75
"E E",472,"MICROCOMPUTER SYST",20,13,0,0,0,3.4,33
"E E",476,"DIG INT CIRCUIT DES",16,0,0,0,0,3.8,17
"E E",478,"DSN COMP SUBSYSTEMS",11,8,4,0,0,3.1,24
"E E",482,"SEMICONDCTR DEVICES",8,8,0,0,0,3.4,16
"E E",502,"INTRO TO MEMS",16,1,0,0,0,3.8,17
"E E",505,"PROB & RAND PROCESS",27,47,2,0,0,3.2,77
"E E",510,"MATH FOUND SYST THR",9,4,0,0,0,3.5,13
"E E",514,"INFO THEORY I",11,2,0,0,0,3.7,14
"E E",518,"DGTL SIGNAL PROCESS",18,13,0,0,0,3.5,32
"E E",539,"TPCS IN SOLID STATE",10,2,0,0,0,3.7,13
"E E",553,"POWE SYS ECONOMICS",15,0,0,0,0,3.8,16
"E E",557,"DYN CONTROLLED SYS",16,2,0,0,0,3.7,18
"E E",590,"ADV TPCS DIGT CMPUT",28,3,0,0,0,3.7,32
"ECFS",200,"INTRO TO ECFS",112,6,0,0,0,3.85,118
"ECFS",303,"SRVC LRNG & RES I",59,3,1,0,0,3.8,66
"ECFS",311,"RESILIENT EDUCATOR",55,8,0,0,0,3.6,64
"ECFS",400,"CHLD OBSRV & ASSESS",38,3,0,0,1,3.7,42
"ECFS",401,"UNDERSTAND ECFS RES",28,2,1,1,0,3.6,33
"ECFS",410,"LANG &LIT PRESCHOOL",67,12,0,0,0,3.7,80
"ECFS",454,"ADV SRVC LRN RES I",74,3,0,0,1,3.75,79
"ECFS",480,"INDIV TCHG & LRNG",48,5,0,0,0,3.7,54
"ECON",200,"INTRO MICROECON",336,658,134,18,11,3.01111111111111,1176
"ECON",201,"INTRO MACROECON",132,197,36,13,6,3.05,398
"ECON",300,"INTERMED MICRO-ECON",76,120,29,6,2,3.01428571428571,245
"ECON",301,"INTERMED MACRO-ECON",44,45,5,1,0,3.2,97
"ECON",382,"INTRO ECONOMETRICS",26,61,3,0,1,3.1,91
"ECON",400,"ADVANCED MICROECON",35,30,12,0,2,3.1,82
"ECON",421,"MNY CRDT & THE ECON",17,23,0,0,0,3.4,40
"ECON",435,"NATRL RESOURCE ECON",30,36,5,0,0,3.2,71
"ECON",436,"ENVIRONMENTAL ECON",16,4,0,0,0,3.6,20
"ECON",450,"PUB FIN: EXPEND POL",18,23,0,0,0,3.3,41
"ECON",471,"INTERNATIONAL TRADE",12,18,4,1,0,3.1,36
"ECON",472,"INTERNATIONAL MACRO",16,18,2,0,1,3.2,37
"ECON",482,"ECONOMETRIC THRY&PR",41,34,1,0,0,3.4,77
"ECON",485,"GAME THEORY",15,17,6,0,0,3.2,40
"ECON",492,"ECON EMERGING MKTS",19,21,0,0,0,3.4,40
"ECON",495,"ECON IN TRANSITION",15,17,1,0,0,3.4,33
"ECON",500,"MICROECN ANLYS I",18,16,0,0,0,3.4,35
"ECON",502,"MACROECN ANLYS I",15,11,1,0,0,3.4,27
"ECON",534,"EMPIRICAL INDUST ORG",17,1,0,0,0,3.8,19
"ECON",580,"ECONOMETRICS I",13,15,2,0,1,3.1,31
"ECON",583,"ECONOMETRIC THY I",19,0,0,0,0,3.8,19
"EDC&I",460,"EARLY LIT INST",14,2,0,0,0,3.8,16
"EDC&I",469,"TEACH AF-AM STUD/CU",29,0,0,0,0,3.9,30
"EDC&I",473,"WRKSHP-SCIENCE",25,2,0,0,0,3.8,27
"EDC&I",474,"MULTI-ETHNIC STDYS",34,2,0,0,0,3.9,36
"EDC&I",494,"WKSHP IMPRVE CURRIC",27,0,0,0,0,3.9,27
"EDC&I",505,"SEM IN CURR & INSTR",49,0,0,0,0,3.9,51
"EDC&I",511,"CUR ISS TECH AND ED",18,0,0,0,0,3.9,18
"EDC&I",528,"LANG, LIT, & CLTR",17,0,0,0,0,3.9,17
"EDC&I",537,"CLASSROOM DISCOURSE",15,0,0,0,0,4,16
"EDC&I",540,"IMMIGRANT SCHOOLING",31,0,0,0,0,3.9,33
"EDC&I",545,"MLTI-LING SOC&DVLPMT",13,0,0,0,0,3.9,13
"EDC&I",559,"PRNC/PRC CURRIC DVL",24,0,0,0,0,3.8,24
"EDLPS",479,"CRUCIAL ISSUES ED",26,1,0,0,0,3.7,27
"EDLPS",502,"LEADERSHIP CORE I",27,1,0,0,0,3.9,28
"EDLPS",512,"IAL EVENTS & FAC",18,5,0,0,0,3.6,23
"EDLPS",513,"IAL MKTG & COMM",14,9,1,0,0,3.5,24
"EDLPS",549,"SPEC TOP EDUC STDS",17,0,0,0,0,3.7,17
"EDLPS",550,"DYNAMICS EDUC ORGS",17,0,0,0,0,3.9,17
"EDLPS",563,"ED & WRKFRCE POLICY",10,4,0,0,0,3.5,14
"EDLPS",580,"AMER COLL & UNIV",21,0,0,0,0,3.9,21
"EDPSY",302,"CHILD DVLPMNT &LRNG",117,11,5,1,3,3.65,139
"EDPSY",406,"LRN TEACH CHG WORLD",56,2,2,0,1,3.8,61
"EDPSY",490,"BASIC EDUC STATSTCS",61,11,1,1,0,3.65,79
"EDPSY",501,"HUMAN LNG ED PRAC",31,0,0,0,0,3.95,31
"EDPSY",548,"EDUC IMPL PERS THRY",16,0,0,0,0,4,16
"EDPSY",554,"INTRO TO MTSS",15,0,0,0,0,4,15
"EDPSY",567,"QUASI-EXPERIMENTAL",13,0,0,0,0,3.9,14
"EDPSY",586,"QUAL MTHD ED RSH 1",23,4,0,0,0,3.6,27
"EDSPE",414,"INTRO TO EC SPEC ED",45,9,0,0,0,3.7,54
"EDSPE",419,"FAM&COM INFLNC CH",83,5,2,0,2,3.7,92
"EDSPE",422,"DISABILITY, ED, ART",26,11,1,0,0,3.5,39
"EDSPE",501,"FOUNDATIONS SPEC ED",27,0,0,0,0,3.9,27
"EDSPE",510,"BEHAV MEAS MGT CL",58,1,0,0,0,3.8,59
"EDSPE",511,"METH APPL BEH ANLYS",42,1,0,0,0,3.8,43
"EDSPE",513,"ASSESSMENT",22,0,0,0,0,3.9,22
"EDSPE",520,"SEM APPL SPEC ED",30,0,0,0,0,4,30
"EDSPE",527,"ABA FOR TEACHERS",42,4,1,0,0,3.7,47
"EDSPE",527,"BEHAVIOR PRINCIPLES",29,1,0,0,0,3.9,30
"EDSPE",530,"READINGS IN ABA",23,0,0,0,0,4,23
"EDSPE",563,"FAM-PROF COLLAB",27,0,0,0,0,3.9,27
"EDTEP",515,"INST PRAC & PERF 1",14,1,0,0,2,3.1,17
"EDTEP",521,"TCH & LRN NUM I",51,1,0,0,0,3.9,52
"EDTEP",522,"TCH & LRN NUM II",23,4,0,0,0,3.6,27
"EDTEP",532,"TCH & LRN LITRCY II",69,11,0,0,0,3.7,80
"EDTEP",544,"DIFFERENTIATED INST",75,9,0,0,0,3.73333333333333,84
"EDTEP",566,"CLASSROOMS FOR ALL",52,8,0,0,0,3.8,60
"EDTEP",573,"ASSMT SEC ED",46,2,0,0,0,3.93333333333333,48
"EDTEP",581,"TCH ENG SEC SCH II",17,0,0,0,0,3.9,17
"EDTEP",585,"TCH SOC STDY SEC II",13,1,0,0,0,3.8,14
"EDUC",170,"MATH ELEM TEACHERS",34,7,1,1,0,3.6,43
"EDUC",251,"ED EQUITY/DIVERSITY",36,4,0,0,0,3.7,40
"EDUC",305,"PUB SCHL DEMOCRACY",34,1,1,0,0,3.7,36
"EDUC",310,"CURRENT ISSUES",80,6,0,3,2,3.55,91
"EMBA",504,"STRAT COMP ANLYS",53,22,0,0,0,3.5,75
"EMBA",505,"FIN REPORT ANLYS",48,27,0,0,0,3.5,75
"EMBA",520,"FINANCIAL MGMT",65,5,0,0,0,3.7,70
"EMBA",532,"MARKETING MNGMNT",70,0,0,0,0,3.8,70
"EMBA",558,"GEN MGMT & STRATEGY",53,22,0,0,0,3.5,75
"ENGL",102,"WRIT FM SOURCES II",30,24,6,0,1,3.25,61
"ENGL",103,"WRIT FM SOURCES III",29,5,1,0,0,3.6,35
"ENGL",104,"ACAD LISTEN SPEAKING",67,9,0,1,0,3.68,79
"ENGL",108,"WRITING READY",350,22,1,0,2,3.84782608695652,375
"ENGL",109,"INTRODUCTORY COMP",66,6,0,1,0,3.66,73
"ENGL",111,"COMPOSITION: LIT",455,132,11,6,4,3.53333333333333,611
"ENGL",121,"COMPOSTN: SOC ISSUE",85,5,0,0,2,3.65,92
"ENGL",131,"COMPOSITN: EXPOSITN",1037,287,43,5,10,3.54285714285714,1385
"ENGL",197,"WRITING HUM",31,7,1,0,0,3.55,39
"ENGL",198,"WRITING/SOC SCI",134,27,1,0,2,3.56666666666667,165
"ENGL",199,"WRITING NAT SCI",180,21,0,0,0,3.71,205
"ENGL",200,"READING LIT FORMS",191,25,0,2,0,3.63333333333333,223
"ENGL",202,"INTRO ENGL LANG LIT",86,35,3,3,0,3.4,128
"ENGL",207,"INTRO CULTURE STUDY",47,40,4,0,2,3.3,93
"ENGL",213,"MODERN/POST MOD LIT",27,9,1,0,0,3.5,38
"ENGL",225,"SHAKESPEARE",16,18,2,0,0,3.3,38
"ENGL",242,"READ PROSE FICTION",131,27,4,2,1,3.52,171
"ENGL",243,"READING POETRY",26,8,1,1,1,3.4,38
"ENGL",250,"AMERICAN LITERATURE",23,9,1,0,0,3.5,34
"ENGL",281,"INTERMED EXPOS WRIT",61,3,2,1,0,3.73333333333333,67
"ENGL",282,"COMP FOR THE WEB",16,7,0,0,0,3.6,24
"ENGL",283,"BEGIN VERSE WRITING",37,5,0,0,1,3.65,43
"ENGL",284,"BEG SHORT STRY WRIT",44,1,0,0,0,3.8,45
"ENGL",295,"STUDY ABROAD",10,7,0,0,0,3.5,17
"ENGL",297,"INTERMED WRIT HUM",102,36,6,1,4,3.3875,150
"ENGL",298,"INTERMED WRIT SOC S",112,51,4,2,2,3.38888888888889,173
"ENGL",299,"INT WRITING NAT SCI",61,7,1,0,0,3.725,70
"ENGL",300,"READING MAJOR TEXTS",31,21,1,2,0,3.3,58
"ENGL",302,"CRITICAL PRACTICE",44,15,0,0,0,3.65,60
"ENGL",307,"CULTURAL STUDIES",22,12,4,2,0,3.3,40
"ENGL",309,"THEORIES OF READING",20,11,1,0,0,3.4,33
"ENGL",316,"POSTCLNIAL LIT&CLTR",23,1,0,0,1,3.7,25
"ENGL",318,"BLACK LIT GENRES",3,7,5,0,1,2.7,17
"ENGL",321,"CHAUCER",39,0,0,0,0,3.9,40
"ENGL",323,"SHAKESPEARE TO 1603",27,9,0,1,0,3.6,38
"ENGL",329,"RISE OF ENG NOVEL",16,8,3,0,0,3.3,28
"ENGL",331,"ROMANTIC POETRY I",30,1,0,0,0,3.8,33
"ENGL",340,"ANGLO-IRISH LIT",27,6,1,0,0,3.6,36
"ENGL",351,"COLONIAL AMER LIT",17,14,0,0,1,3.3,32
"ENGL",352,"EARLY AMER LIT",24,10,0,0,0,3.5,34
"ENGL",358,"LIT OF BLACK AMER",4,4,4,0,1,2.7,13
"ENGL",363,"LIT & OTHER ARTS",12,4,1,0,0,3.6,17
"ENGL",365,"LIT OF ENVIRONMENT",11,3,1,0,0,3.5,16
"ENGL",370,"ENGL LANG STUDY",26,10,0,0,0,3.6,36
"ENGL",381,"ADV EXPOSITORY WRIT",17,4,2,0,0,3.5,23
"ENGL",383,"THE CRAFT OF VERSE",30,2,0,0,0,3.75,32
"ENGL",384,"THE CRAFT OF PROSE",15,0,0,0,0,3.8,15
"ENGL",440,"SPEC STUDIES IN LIT",12,4,0,0,2,3.1,19
"ENGL",484,"ADV PROSE WORKSHOP",8,5,0,0,0,3.4,13
"ENGL",494,"HONORS SEMINAR",13,0,0,0,0,3.9,13
"ENGL",506,"MOD & CONTMP THEORY",15,0,0,0,0,3.9,15
"ENGL",528,"VICTORIAN LIT",13,0,0,0,0,3.9,13
"ENGL",567,"TEACHING COMP",34,0,0,0,0,3.9,34
"ENGL",571,"TESOL THEOR & PRACT",13,0,0,0,0,3.8,13
"ENGL",581,"CRTV WR AS CRIT RDR",15,0,0,0,0,4,15
"ENGR",202,"SPECIAL TOPICS",15,10,0,0,0,3.5,25
"ENTRE",370,"INTRO TO ENTREP",39,44,4,0,0,3.3,87
"ENTRE",432,"SOFTWARE ENTRPRNSHP",19,10,0,0,0,3.5,29
"ENTRE",443,"ENVIR INNOVTN PRACT",7,7,0,0,0,3.4,17
"ENTRE",455,"ENTREPRENEUR MKTG",12,15,0,0,0,3.4,28
"ENTRE",472,"CREATING A COMPANY I",37,7,0,0,0,3.7,45
"ENTRE",490,"SPECIAL TOPICS ENTRE",13,1,1,0,0,3.6,15
"ENTRE",510,"ENTRE STRATEGY",37,9,0,0,0,3.6,46
"ENTRE",579,"SPEC TOPICS ENTREP",13,4,0,0,0,3.6,17
"ENV H",111,"ENVR HLTH CONNECTS",70,17,2,0,0,3.6,89
"ENV H",310,"GREEN CHEMISTRY",10,3,0,0,0,3.6,14
"ENV H",311,"INTRO TO ENV HEALTH",30,20,13,3,1,3,73
"ENV H",431,"SAMPLING AND ANLYS I",16,3,0,0,0,3.6,19
"ENV H",440,"WATER WASTE HEALTH",34,3,0,0,0,3.8,40
"ENV H",444,"ANTIBIOTIC RESISTNC",32,4,1,0,0,3.7,37
"ENV H",451,"ECOL ENV MICROB HAZ",38,3,0,0,0,3.8,41
"ENV H",453,"INDUST HYGIENE",2,10,3,0,0,2.9,15
"ENV H",472,"ENV RISK & SOCIETY",20,21,0,1,0,3.3,42
"ENV H",551,"PRIN HUMAN EXP SCI",20,1,0,0,0,3.7,21
"ENV H",564,"HLTH & SAF PROB-IND",16,1,0,0,0,3.6,17
"ENV H",577,"RISK ASSESSMENT",20,0,0,0,0,3.8,20
"ENV H",590,"SELECTED TOPICS",22,0,1,0,0,3.9,23
"ENVIR",100,"ENVIRONMNTL FOUNDATN",79,70,13,4,2,3.2,168
"ENVIR",200,"ENVIR COMMUNICATION",8,11,2,0,3,2.8,25
"ENVIR",221,"US ENVIRON HIST",17,20,2,0,1,3.1,40
"ENVIR",239,"SUSTAINABLE CHOICES",45,12,2,1,0,3.55,60
"ENVIR",250,"ENVIRONMT DATA",9,6,0,0,1,3.2,16
"ENVIR",280,"NATURAL HISTORY",32,4,4,1,2,3.3,44
"ENVIR",362,"INTRO REST ECOL",8,7,4,0,0,3,19
"ENVIR",379,"ENVIRON SOCIOLOGY",18,2,0,0,0,3.8,20
"ENVIR",460,"PWR PRIV & PRSERV",8,5,1,0,0,3.4,14
"ENVIR",476,"INTRO ENVIR LAW",14,0,0,0,1,3.5,15
"ENVIR",480,"SUSTNABILITY STUDIO",22,3,0,0,0,3.7,25
"ENVIR",490,"PRE CAPSTONE SEMINR",21,1,0,0,0,3.7,22
"ENVIR",492,"POSTCAPSTONE SEMNR",22,16,1,0,0,3.4,39
"EPI",220,"STI CAUSE & CONSEQ",43,17,11,1,1,3.1,78
"EPI",511,"INTRO TO EPIDEMIOL",110,34,0,0,0,3.6,144
"EPI",512,"EPIDEM METHODS I",88,48,0,0,0,3.5,138
"EPI",527,"VACCINES",20,6,1,0,0,3.5,27
"EPI",536,"CAT ANALYSIS EPIDEM",29,8,0,0,0,3.5,37
"EPI",554,"INTRO EPI MODELING",17,3,0,0,0,3.7,20
"ESRM",100,"ENVIRONMENTAL SCI",224,120,6,0,2,3.5,369
"ESRM",101,"FORESTS AND SOCIETY",225,16,2,0,0,3.7,245
"ESRM",150,"WILDLIFE MOD WORLD",86,39,6,1,2,3.4,138
"ESRM",201,"PAC NW ECOSYSTEMS",19,20,6,1,2,3,48
"ESRM",210,"SOILS",14,25,6,0,1,3,49
"ESRM",250,"INTRO TO GIS",38,16,2,0,2,3.35,59
"ESRM",304,"ENV RES ASSESSMENT",24,15,4,1,2,3.2,47
"ESRM",320,"SUSTAINABLE MARKET",25,33,7,1,4,3,79
"ESRM",325,"ENVIRON APPL PLANTS",32,25,1,2,0,3.3,66
"ESRM",350,"WILDLIFE BIOL&CONSV",33,19,1,0,1,3.3,54
"ESRM",362,"INTRO REST ECOL",12,12,2,0,4,2.8,31
"ESRM",371,"ENVIRON SOCIOLOGY",34,8,0,0,0,3.7,42
"ESRM",381,"MGT WILD REC AMEN",31,13,3,0,1,3.4,49
"ESRM",403,"FOREST AND ECON DEV",13,5,0,0,0,3.5,18
"ESRM",410,"FOR SOILS SITE PROD",14,1,0,0,0,3.9,16
"ESRM",428,"PRINCP SILVICULTURE",13,0,0,0,0,3.9,13
"ESRM",441,"LANDSCAPE ECOLOGY",20,12,2,0,1,3.3,35
"ESRM",456,"BIOL & CONS BIRDS",27,23,2,1,1,3.2,55
"ESRM",465,"ECON OF CONSERV",8,10,6,0,0,3,25
